"""""",Year,Type,Country,Activity,Sex,Age,AgeRange,Fatal,Species,Number
1,1968,Unprovoked,NEW ZEALAND,Spearfishing,M,24,20-29,Y,White shark,1
2,1968,Unprovoked,USA,Diving,M,25,20-29,N,White shark,1
3,1968,Unprovoked,NEW ZEALAND,Surfing,M,17,12-19,N,White shark,1
4,1968,Unprovoked,AUSTRALIA,UNKNOWN,M,UNKNOWN,Unknown,N,White shark,1
5,1969,Unprovoked,USA,Diving,M,53,50-59,N,White shark,1
6,1969,Unprovoked,USA,Diving,M,UNKNOWN,Unknown,N,White shark,1
7,1969,Unprovoked,USA,Surfing,M,16,12-19,N,White shark,1
8,1970,Unprovoked,CROATIA,Spearfishing,M,UNKNOWN,Unknown,UNKNOWN,White shark,1
9,1971,Unprovoked,SOUTH AFRICA,Swimming,M,50,50-59,Y,White shark,1
10,1971,Unprovoked,AUSTRALIA,Surfing,M,15,12-19,N,White shark,1
11,1971,Unprovoked,SOUTH AFRICA,Swimming,F,16,12-19,N,White shark,1
12,1971,Unprovoked,SOUTH AFRICA,Surfing,M,21,20-29,N,White shark,1
13,1971,Unprovoked,USA,Scuba Diving,M,30,30-39,N,White shark,1
14,1971,Unprovoked,CROATIA,Swimming,M,34,30-39,Y,White shark,1
15,1971,Unprovoked,USA,Diving,M,UNKNOWN,Unknown,N,White shark,1
16,1971,Unprovoked,NEW ZEALAND,Surfing,M,16,12-19,N,White shark,1
17,1972,Unprovoked,SOUTH AFRICA,Swimming,M,UNKNOWN,Unknown,N,White shark,1
18,1972,Unprovoked,FRANCE,Swimming,UNKNOWN,UNKNOWN,Unknown,N,White shark,1
19,1972,Unprovoked,USA,Surfing,M,UNKNOWN,Unknown,N,White shark,1
20,1972,Unprovoked,AUSTRALIA,Diving,M,45,40-49,N,White shark,1
21,1972,Unprovoked,USA,Diving,M,32,30-39,N,White shark,1
22,1972,Unprovoked,MOZAMBIQUE,Standing,M,24,20-29,N,White shark,1
23,1973,Unprovoked,MEXICO,Spearfishing,M,37,30-39,Y,White shark,1
24,1974,Unprovoked,USA,Diving,M,45,40-49,N,White shark,1
25,1974,Unprovoked,USA,Diving,M,29,20-29,N,White shark,1
26,1974,Unprovoked,USA,Scuba Diving,M,48,40-49,N,White shark,1
27,1974,Unprovoked,AUSTRALIA,Diving,M,26,20-29,Y,White shark,1
28,1974,Unprovoked,USA,Surfing,M,17,12-19,N,White shark,1
29,1974,Unprovoked,USA,Diving,M,36,30-39,N,White shark,1
30,1974,Unprovoked,CROATIA,UNKNOWN,M,21,20-29,Y,White shark,1
31,1974,Unprovoked,USA,Surfing,M,UNKNOWN,Unknown,N,White shark,1
32,1974,Boat,SOUTH AFRICA,Fishing,UNKNOWN,UNKNOWN,Unknown,N,White shark,1
33,1974,Unprovoked,USA,Scuba Diving,M,41,40-49,N,White shark,1
34,1974,Unprovoked,USA,Surfing,M,24,20-29,N,White shark,1
35,1975,Unprovoked,USA,Diving,M,34,30-39,N,White shark,1
36,1975,Unprovoked,USA,Scuba Diving,M,23,20-29,N,White shark,1
37,1975,Unprovoked,AUSTRALIA,Scuba Diving,M,37,30-39,Y,White shark,1
38,1975,Unprovoked,SOUTH AFRICA,Spearfishing,M,UNKNOWN,Unknown,N,White shark,1
39,1975,Unprovoked,SOUTH AFRICA,Surfing,M,19,12-19,N,White shark,1
40,1975,Unprovoked,USA,Spearfishing,M,27,20-29,N,White shark,1
41,1975,Unprovoked,USA,Diving,M,44,40-49,N,White shark,1
42,1975,Unprovoked,AUSTRALIA,Swimming,M,12,12-19,Y,White shark,1
43,1976,Unprovoked,USA,Surfing,M,25,20-29,N,White shark,1
44,1976,Unprovoked,SOUTH AFRICA,Surfing,M,20,20-29,N,White shark,1
45,1976,Unprovoked,USA,Surfing,M,19,12-19,N,White shark,1
46,1976,Boat,SOUTH AFRICA,UNKNOWN,UNKNOWN,UNKNOWN,Unknown,N,White shark,1
47,1976,Boat,SOUTH AFRICA,Boat,UNKNOWN,UNKNOWN,Unknown,N,White shark,1
48,1976,Unprovoked,USA,Diving,M,29,20-29,N,White shark,1
49,1976,Provoked,SOUTH AFRICA,Fishing,UNKNOWN,UNKNOWN,Unknown,N,White shark,1
50,1976,Provoked,SOUTH AFRICA,Fishing,UNKNOWN,UNKNOWN,Unknown,N,White shark,1
51,1976,Boat,SOUTH AFRICA,UNKNOWN,UNKNOWN,UNKNOWN,Unknown,N,White shark,1
52,1976,Boat,SOUTH AFRICA,Fishing,UNKNOWN,UNKNOWN,Unknown,N,White shark,1
53,1976,Unprovoked,SOUTH AFRICA,"Thrashing the water / imitating the shark victim from ""Jaws""",M,19,12-19,N,White shark,1
54,1977,Unprovoked,SOUTH AFRICA,Spearfishing,M,25,20-29,N,White shark,1
55,1977,Boat,SOUTH AFRICA,Fishing,M,UNKNOWN,Unknown,N,White shark,1
56,1977,Unprovoked,USA,Fishing,M,20,20-29,N,White shark,1
57,1977,Unprovoked,AUSTRALIA,Surfing,M,17,12-19,N,White shark,1
58,1978,Unprovoked,SOUTH AFRICA,Spearfishing,M,23,20-29,Y,White shark,1
59,1978,Unprovoked,ITALY,Diving,M,UNKNOWN,Unknown,N,White shark,1
60,1978,Unprovoked,SOUTH AFRICA,Spearfishing,M,27,20-29,N,White shark,1
61,1978,Unprovoked,SOUTH AFRICA,Diving,M,UNKNOWN,Unknown,N,White shark,1
62,1979,Provoked,SOUTH AFRICA,Spearfishing,M,25,20-29,N,White shark,1
63,1979,Unprovoked,USA,Scuba Diving,M,UNKNOWN,Unknown,N,White shark,1
64,1979,Invalid,PORTUGAL,Spearfishing,M,19,12-19,Y,White shark,1
65,1979,Provoked,SOUTH AFRICA,Fishing,UNKNOWN,UNKNOWN,Unknown,N,White shark,1
66,1979,Unprovoked,USA,Surfing,M,20,20-29,N,White shark,1
67,1980,Unprovoked,CHILE,Diving,M,UNKNOWN,Unknown,Y,White shark,1
68,1981,Unprovoked,BRAZIL,Diving,UNKNOWN,UNKNOWN,Unknown,UNKNOWN,White shark,1
69,1981,Unprovoked,CHILE,Spearfishing,M,UNKNOWN,Unknown,N,White shark,1
70,1982,Unprovoked,USA,Diving,M,36,30-39,N,White shark,1
71,1982,Boat,ITALY,Fishing,M,UNKNOWN,Unknown,N,White shark,1
72,1983,Unprovoked,USA,Surfing,M,UNKNOWN,Unknown,N,White shark,1
